Rank;Previous Rank;First Appearance;First Rank;Name;Computer;Site;Manufacturer;Country;Year;Segment;Total Cores;Accelerator/Co-Processor Cores;Rmax [TFlop/s];Rpeak [TFlop/s];Nmax;Nhalf;HPCG [TFlop/s];Power (kW);Power Source;Power Efficiency [GFlops/Watts];Memory;Architecture;Processor;Processor Technology;Processor Speed (MHz);Operating System;OS Family;Accelerator/Co-Processor;Cores per Socket;Processor Generation;System Model;System Family;Interconnect Family;Interconnect;Continent;Site ID;System ID
50;31;49;62;TSUBAME3.0;SGI ICE XA, IP139-SXM2, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100 SXM2;GSIC Center, Tokyo Institute of Technology;HPE;Japan;2017;Academic;135 828;120 736;8 125,00;12 127,07;2 126 208;;188,62;792,08;Submitted;10,26;;Cluster;Xeon E5-2680v4 14C 2.4GHz;Intel Broadwell;2 400;SUSE Linux Enterprise Server 12 SP1;Linux;NVIDIA Tesla P100 NVLink;14;Intel Xeon E5 (Broadwell);SGI ICE XA (HPE SGI 8600), IP139-SXM2;HPE SGI 8600;Omnipath;Intel Omni-Path;Asia;47 912;179093
51;32;55;28;Roxy;Apollo 2000, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR;Government;HPE;United States;2020;Government;174 720;;8 124,48;13 977,60;4 744 704;;;;;;;Cluster;Xeon Gold 6248 20C 2.5GHz;Intel Cascade lake;2 500;CentOS Linux 7;Linux;None;20;Xeon Gold 62xx (Cascade Lake);Apollo 2000;HP Apollo;Infiniband;Infiniband EDR;North America;50 046;179849
52;;57;52;HoreKa-Green;ThinkSystem SD650 V2, Xeon Platinum 8368 38C 2.4GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband;Karlsruher Institut für Technologie (KIT) ;Lenovo;Germany;2021;Academic;90 932;77 328;8 025,60;15 006,79;1 915 200;;;358,79;Submitted;22,37;;Cluster;Xeon Platinum 8368 38C 2.4GHz;Intel Ice Lake;2 400;Linux;Linux;NVIDIA A100 40GB;38;Xeon® Platinum 83xx (Ice Lake);ThinkSystem SD650 V2;Lenovo ThinkSystem;Infiniband;Mellanox HDR Infiniband;Europe;50 444;179965
53;;57;53;Narwhal;HPE Cray EX, AMD EPYC 7H12 64C 2.6GHz, Slingshot-10;Navy DSRC;HPE;United States;2020;Government;276 480;;8 023,60;11 501,57;7 705 360;;;;;;;MPP;AMD EPYC 7H12 64C 2.6GHz;AMD Zen-2 (Rome);2 600;SLES15 SP2;Linux;None;64;AMD Rome;HPE Cray EX;HPE Cray EX;Gigabit Ethernet;Slingshot-10;North America;50 425;179925
54;33;56;33;Plasma Simulator;SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, Infiniband HDR 200;National Institute for Fusion Science (NIFS);NEC;Japan;2020;Research;34 560;;7 892,70;10 510,66;5 047 920;;529,16;1 550,10;Submitted;5,09;;Cluster;Vector Engine Type10AE 8C 1.58GHz;NEC Vector Engine;1 584;VEOS;Linux;None;8;Vector Engine;SX-Aurora TSUBASA A412-8;SX-Aurora TSUBASA;Infiniband;Infiniband HDR200;Asia;48 476;179871
55;34;55;29;Belenos;Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR100;Meteo France;Atos;France;2020;Research;294 912;;7 683,36;10 469,38;6 843 840;;;1 655,00;Submitted;4,64;;Cluster;AMD EPYC 7742 64C 2.25GHz;AMD Zen-2 (Rome);2 250;bullx SCS;Linux;None;64;AMD Rome;BullSequana XH2000;BullSequana;Infiniband;Mellanox InfiniBand HDR100;Europe;48 356;179853
56;35;53;26;PupMaya;Apollo 2000, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR;Government;HPE;United States;2019;Government;169 920;;7 483,73;12 902,40;4 748 928;;;;;;;Cluster;Xeon Gold 6148 20C 2.4GHz;Intel Skylake;2 400;CentOS Linux 7;Linux;None;20;Xeon Gold;Apollo 2000;HP Apollo;Infiniband;Infiniband EDR;North America;50 798;179604
57;36;54;26;Artemis;NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Infiniband EDR, NVIDIA Tesla V100;Group 42;Nvidia;United Arab Emirates;2019;Industry;107 568;103 680;7 257,00;9 492,16;2 304 000;;;673,00;Submitted;10,78;;Cluster;Xeon Platinum 8168 24C 2.7GHz;Intel Skylake;2 700;Ubuntu;Linux;NVIDIA Tesla V100;24;Xeon Platinum;NVIDIA DGX-2;NVIDIA DGX;Infiniband;Infiniband EDR;Asia;50 813;179803
58;37;48;11;;Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ;United Kingdom Meteorological Office;Cray/HPE;United Kingdom;2016;Research;241 920;;7 038,93;8 128,51;6 705 408;;;;;;;MPP;Xeon E5-2695v4 18C 2.1GHz;Intel Broadwell;2 100;Cray Linux Environment ;Linux;None;18;Intel Xeon E5 (Broadwell);Cray XC40;Cray XC;Custom Interconnect;Aries interconnect ;Europe;49 064;178925
59;38;54;59;JOLIOT-CURIE ROME;Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100;CEA/TGCC-GENCI;Atos;France;2019;Research;197 120;;6 988,04;12 039,37;6 792 576;;;1 436,00;Submitted;4,87;;Cluster;AMD Rome 7H12 64C 2.6GHz;AMD Zen-2 (Rome);2 600;bullx SCS;Linux;None;64;AMD Rome;BullSequana XH2000;BullSequana;Infiniband;Mellanox InfiniBand HDR100;Europe;50 414;179700
60;39;48;18;Theta;Cray XC40, Intel Xeon Phi 7230 64C 1.3GHz, Aries interconnect ;DOE/SC/Argonne National Laboratory;Cray/HPE;United States;2017;Research;280 320;;6 920,90;11 661,31;7 680 000;;;;;;;MPP;Intel Xeon Phi 7230 64C 1.3GHz;Intel Xeon Phi;1 300;Cray Linux Environment ;Linux;None;64;Intel Xeon Phi;Cray XC40;Cray XC;Custom Interconnect;Aries interconnect ;North America;47 347;178926
61;40;54;29;Christofari;NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100;SberCloud;Nvidia;Russia;2019;Industry;99 600;96 000;6 669,00;8 789,76;2 208 000;1 169 680;;;;;;Cluster;Xeon Platinum 8168 24C 2.7GHz;Intel Skylake;2 700;Ubuntu 18.04.01;Linux;NVIDIA Tesla V100;24;Xeon Platinum;NVIDIA DGX-2;NVIDIA DGX;Infiniband;Mellanox InfiniBand EDR;Europe;50 820;179778
62;41;55;36;Flow;PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D;Information Technology Center, Nagoya University;Fujitsu;Japan;2020;Academic;110 592;;6 617,80;7 785,68;2 621 440;;230,59;;;;;Cluster;A64FX 48C 2.2GHz;Fujitsu ARM;2 200;Red Hat Enterprise Linux;Linux;None;48;Fujitsu A64FX;PRIMEHPC FX1000;Fujitsu PRIMEHPC;Proprietary Network;Tofu interconnect D;Asia;50 495;179808
63;42;49;13;MareNostrum;Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path;Barcelona Supercomputing Center;Lenovo;Spain;2017;Academic;153 216;;6 470,80;10 296,12;5 990 400;;122,24;1 632,00;Submitted;3,96;;Cluster;Xeon Platinum 8160  24C 2.1GHz;Intel Skylake;2 100;SUSE Linux;Linux;None;24;Xeon Platinum;ThinkSystem SD530;Lenovo ThinkSystem;Omnipath;Intel Omni-Path;Europe;49 748;179067
64;43;49;30;ONYX;Cray XC40, Xeon E5-2699v4  22C 2.2GHz, Aries interconnect ;ERDC DSRC;Cray/HPE;United States;2017;Research;211 816;;6 316,03;7 455,92;7 001 472;;;;;;;MPP;Xeon E5-2699v4  22C 2.2GHz;Intel Broadwell;2 200;Cray Linux Environment ;Linux;None;22;Intel Xeon E5 (Broadwell);Cray XC40;Cray XC;Custom Interconnect;Aries interconnect ;North America;47 771;179100
65;44;51;23;JUWELS Module 1;Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite;Forschungszentrum Juelich (FZJ);Atos;Germany;2018;Research;114 480;;6 177,73;9 891,07;4 996 992;;75,35;1 361,00;Submitted;4,54;;Cluster;Xeon Platinum 8168 24C 2.7GHz;Intel Skylake;2 700;CentOS;Linux;None;24;Xeon Platinum;BullSequana X1000;BullSequana;Infiniband;Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite;Europe;47 871;179424
66;45;56;45;;HPE SGI 8600, Xeon Gold 6248R 24C 3GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR;Japan Atomic Energy Agency(JAEA)/ National Institutes for Quantum and Radiological Science and Technology(QST);HPE;Japan;2020;Research;100 096;87 040;6 162,00;8 439,62;2 128 128;;130,23;;;;;Cluster;Xeon Gold 6248R 24C 3GHz;Intel Cascade lake;3 000;RHEL 7.7;Linux;NVIDIA Tesla V100 SXM2;24;Xeon Gold 62xx (Cascade Lake);HPE SGI 8600;HPE SGI 8600;Infiniband;Infiniband EDR;Asia;50 860;179896
67;;57;67;SQUID - CPU Nodes;NEC LX 103Bj-8, Xeon Platinum 8368 38C 2.4GHz, Infiniband HDR200;Osaka University;NEC;Japan;2021;Academic;115 520;;6 105,10;8 871,94;6 558 880;;82,87;1 222,20;Submitted;5,00;;Cluster;Xeon Platinum 8368 38C 2.4GHz;Intel Ice Lake;2 400;CentOS;Linux;None;38;Xeon® Platinum 83xx (Ice Lake);NEC LX 103Bj-8;NEC Cluster;Infiniband;Infiniband HDR200;Asia;48 585;179934
68;55;54;40;Lise;Bull intel Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path;HLRN at ZIB/Konrad Zuse-Zentrum Berlin;Atos;Germany;2019;Academic;121 920;;6 048,26;8 930,92;6 935 040;;;;;;;Cluster;Intel Xeon Platinum 9242 48C 2.3GHz;Intel Cascade lake;2 300;CentOS;Linux;None;48;Xeon Platinum 92xx (Cascade Lake);Bull intel Cluster;Bull Cluster;Omnipath;Intel Omni-Path;Europe;49 361;179702
69;;57;69;Karolina, GPU partition;Apollo 6500, AMD EPYC 7452 32C 2.35GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR200;IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava;HPE;Czechia;2021;Academic;64 960;60 480;6 048,00;8 645,17;1 693 440;;179,00;297,26;Submitted;20,35;;Cluster;AMD EPYC 7452 32C 2.35GHz;AMD Zen-2 (Rome);2 350;CentOS;Linux;NVIDIA A100 SXM4 40 GB;32;AMD Rome;Apollo 6500;HP Apollo;Infiniband;Infiniband HDR200;Europe;50 561;179961
70;46;37;7;Pleiades;SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3/E5-2680v4  2.6/2.8/2.5/2.4 GHz, Infiniband FDR;NASA/Ames Research Center/NAS;HPE;United States;2016;Research;241 108;;5 951,55;7 107,15;6 500 160;;175,18;4 407,00;Submitted;1,35;;Cluster;Intel Xeon E5-2680v2  10C 2.8GHz;Intel IvyBridge;2 800;SUSE Linux Enterprise Server 11;Linux;None;10;Intel Xeon E5 (IvyBridge);SGI ICE X;SGI ICE;Infiniband;Infiniband FDR;North America;48 408;177259
71;47;56;47;Emmy+;BullSequana X, Intel Xeon Platinum 9242/Gold 6148, Intel Omni-Path;HLRN+ at GWDG/University of Göttingen;Atos;Germany;2020;Academic;120 296;;5 948,80;8 911,26;7 253 376;;;;;;513 792;Cluster;Intel Xeon Platinum 9242 48C 2.3GHz;Intel Cascade lake;2 300;Linux;Linux;None;48;Xeon Platinum 92xx (Cascade Lake);BullSequana X;BullSequana;Omnipath;Intel Omni-Path;Europe;50 848;179883
72;;57;72;Aitken;HPE Apollo 9000/HPE SGI 8600, AMD EPYC 7742 64C 2.25GHz/Intel Xeon Gold 6248 20C 2.5GHz, Mellanox EDR/HDR Infiniband;NASA/Ames Research Center/NAS;HPE;United States;2020;Research;175 648;;5 795,30;8 329,73;7 388 160;;113,47;1 401,00;Submitted;4,14;;Cluster;Xeon Gold 6248 20C 2.5GHz;Intel Cascade lake;2 500;SLES12;Linux;None;20;Xeon Gold 62xx (Cascade Lake);Apollo 9000;HP Apollo;Infiniband;Infiniband EDR/HDR ;North America;48 408;179959
73;48;54;37;Sawtooth;HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR/HDR ;Idaho National Laboratory;HPE;United States;2019;Research;99 792;;5 780,62;9 220,61;6 532 608;;;1 432,00;Submitted;4,04;;Cluster;Xeon Platinum 8268 24C 2.9GHz;Intel Cascade lake;2 900;RHEL 7.6;Linux;None;24;Xeon Platinum 82xx (Cascade Lake);HPE SGI 8600;HPE SGI 8600;Infiniband;Infiniband EDR/HDR ;North America;47 650;179708
74;49;51;25;;Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ;Japan Meteorological Agency;Cray Inc./Hitachi;Japan;2018;Research;135 792;;5 730,50;9 125,22;5 667 840;;;1 353,95;Submitted;4,23;;MPP;Xeon Platinum 8160  24C 2.1GHz;Intel Skylake;2 100;Cray Linux Environment ;Linux;None;24;Xeon Platinum;Cray XC50;Cray XC;Custom Interconnect;Aries interconnect ;Asia;48 169;179414
75;50;51;26;;Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ;Japan Meteorological Agency;Cray Inc./Hitachi;Japan;2018;Research;135 792;;5 730,50;9 125,22;5 667 840;;;1 353,95;Submitted;4,23;;MPP;Xeon Platinum 8160  24C 2.1GHz;Intel Skylake;2 100;Cray Linux Environment ;Linux;None;24;Xeon Platinum;Cray XC50;Cray XC;Custom Interconnect;Aries interconnect ;Asia;48 169;179415
76;51;51;28;COBRA;Intel Compute Module HNS2600BP, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path;Max-Planck-Gesellschaft MPI/IPP;Intel;Germany;2018;Research;127 520;;5 612,83;9 793,54;5 213 184;;;1 635,00;Submitted;3,43;;Cluster;Xeon Gold 6148 20C 2.4GHz;Intel Skylake;2 400;SUSE Linux Enterprise Server 12 SP1;Linux;None;20;Xeon Gold;Intel Compute Module HNS2600BP;Intel Cluster;Omnipath;Intel Omni-Path;Europe;48 331;179423
77;52;45;7;Shaheen II;Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ;King Abdullah University of Science and Technology;Cray/HPE;Saudi Arabia;2015;Academic;196 608;;5 536,99;7 235,17;9 738 048;;113,87;2 834,00;Submitted;1,95;;MPP;Xeon E5-2698v3 16C 2.3GHz;Intel Haswell;2 300;Cray Linux Environment ;Linux;None;16;Intel Xeon E5 (Haswell);Cray XC40;Cray XC;Custom Interconnect;Aries interconnect ;Asia;50 205;178515
78;53;52;33;Electra;HPE SGI 8600/SGI ICE-X, E5-2680V4/ Xeon Gold 6148 20C 2.4GHz, Infiniband EDR/FDR-56 IB;NASA/Ames Research Center/NAS;HPE;United States;2018;Research;124 416;;5 444,64;8 316,52;6 931 200;;65,00;1 685,73;Submitted;3,23;;Cluster;Xeon Gold 6148 20C 2.4GHz;Intel Skylake;2 400;SLES12 SP2;Linux;None;20;Xeon Gold;HPE SGI 8600;HPE SGI 8600;Infiniband;Infiniband EDR;North America;48 408;179589
79;;57;79;Raven;ThinkSystem SD650 V2, Xeon Platinum 8360Y 36C 2.4GHz, InfiniBand HDR 100;Max-Planck-Gesellschaft MPI/IPP;Lenovo;Germany;2021;Research;114 624;;5 415,98;8 803,12;4 128 768;;;;;;;Cluster;Xeon Platinum 8360Y 36C 2.4GHz;Intel Ice Lake;2 400;SUSE Linux Enterprise Server 15 SP2;Linux;None;36;Xeon® Platinum 83xx (Ice Lake);ThinkSystem SD650 V2;Lenovo ThinkSystem;Infiniband;InfiniBand HDR 100;Europe;48 331;179913
80;54;55;47;MAHTI;Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100;CSC (Center for Scientific Computing);Atos;Finland;2020;Academic;169 728;;5 388,52;7 060,68;6 362 304;;;1 070,00;Submitted;5,04;;Cluster;AMD Rome 7H12 64C 2.6GHz;AMD Zen-2 (Rome);2 600;bullx SCS;Linux;None;64;AMD Rome;BullSequana XH2000;BullSequana;Infiniband;Mellanox InfiniBand HDR100;Europe;47 508;179855
81;56;41;12;Pangea;SGI ICE X, Xeon Xeon E5-2670/ E5-2680v3 12C 2.5GHz, Infiniband FDR;Total Exploration Production;HPE;France;2013;Industry;220 800;;5 283,11;6 712,32;4 919 040;;162,69;4 150,00;Submitted;1,27;;Cluster;Xeon E5-2680v3 12C 2.5GHz;Intel Haswell;2 500;SUSE Linux Enterprise Server 11;Linux;None;12;Intel Xeon E5 (Haswell);SGI ICE X;SGI ICE;Infiniband;Infiniband FDR;Europe;49 546;178071
82;;57;82;Berzelius;NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR;National Supercomputer Centre (NSC);Atos;Sweden;2021;Academic;59 520;51 840;5 253,00;9 636,48;1 536 000;;;;;;;Cluster;AMD EPYC 7742 64C 2.25GHz;AMD Zen-2 (Rome);2 250;Red Hat Enterprise Linux;Linux;NVIDIA A100;64;AMD Rome;NVIDIA DGX A100;NVIDIA DGX;Infiniband;Infiniband HDR;Europe;48 488;179953
83;57;53;51;TX-GAIA (Green AI Accelerator);Apollo 2000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Intel Omni-Path;MIT Lincoln Laboratory Supercomputing Center;HPE;United States;2019;Academic;88 400;70 720;5 161,00;6 981,48;4 455 360;;;1 436,00;Submitted;3,59;;Cluster;Xeon Gold 6248 20C 2.5GHz;Intel Cascade lake;2 500;CentOS Linux 7;Linux;NVIDIA Tesla V100;20;Xeon Gold 62xx (Cascade Lake);Apollo 2000;HP Apollo;Omnipath;Intel Omni-Path;North America;48 296;179603
84;;57;84;BioHive-1;NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband;Recursion;Nvidia;United States;2021;Industry;39 680;34 560;4 902,00;5 709,44;1 811 520;;;;;;;Cluster;AMD EPYC 7742 64C 2.25GHz;AMD Zen-2 (Rome);2 250;Ubuntu 20.04.1 LTS;Linux;NVIDIA A100;64;AMD Rome;NVIDIA DGX A100;NVIDIA DGX;Infiniband;Mellanox HDR Infiniband;North America;50 874;179939
85;58;56;58;Flow Type II subsystem;PRIMERGY CX2570 M5, Xeon Gold 6230 20C 2.1GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR;Information Technology Center, Nagoya University;Fujitsu;Japan;2020;Academic;79 560;70 720;4 880,46;7 519,30;1 880 064;;97,16;;;;;Cluster;Xeon Gold 6230 20C 2.1GHz;Intel Cascade lake;2 100;Linux;Linux;NVIDIA Tesla V100 SXM2;20;Xeon Gold 62xx (Cascade Lake);PRIMERGY CX2570 M5;Fujitsu PRIMERGY;Infiniband;Infiniband EDR;Asia;50 495;179897
86;59;52;35;Eagle;HPE SGI 8600, Xeon Gold 6154 18C 3GHz, EDR Infiniband/ 8D Hypercube;National Renewable Energy Laboratory;HPE;United States;2018;Research;75 600;;4 850,66;7 257,60;4 652 160;;;;;;;Cluster;Xeon Gold 6154 18C 3GHz;Intel Skylake;3 000;CentOS;Linux;None;18;Xeon Gold;HPE SGI 8600;HPE SGI 8600;Infiniband;EDR Infiniband/ 8D Hypercube;North America;48 481;179598
87;60;48;21;Cheyenne;SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR;National Center for Atmospheric Research (NCAR);HPE;United States;2016;Research;144 900;;4 788,19;5 332,32;5 171 520;;87,28;1 727,00;Submitted;2,77;;Cluster;Xeon E5-2697v4 18C 2.3GHz;Intel Broadwell;2 300;SUSE Linux Enterprise Server 12 SP1;Linux;None;18;Intel Xeon E5 (Broadwell);SGI ICE XA;SGI ICE;Infiniband;Infiniband EDR;North America;48 418;178965
88;61;55;55;Betzy;Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband;UNINETT Sigma2 AS;Atos;Norway;2020;Academic;172 032;;4 724,79;6 193,15;5 054 016;;;;;;;Cluster;AMD EPYC 7742 64C 2.25GHz;AMD Zen-2 (Rome);2 250;RHEL 7.7;Linux;None;64;AMD Rome;BullSequana XH2000;BullSequana;Infiniband;Mellanox HDR Infiniband;Europe;50 713;179861
89;62;56;62;PARAM Siddhi-AI;NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband;Center for Development of Advanced Computing (C-DAC);Atos;India;2020;Research;41 664;36 288;4 619,00;5 267,14;1 317 888;;;;;;;Cluster;AMD EPYC 7742 64C 2.25GHz;AMD Zen-2 (Rome);2 250;Ubuntu 20.04.1 LTS;Linux;NVIDIA A100;64;AMD Rome;NVIDIA DGX A100;NVIDIA DGX;Infiniband;Mellanox HDR Infiniband;Asia;49 466;179901
90;63;51;32;ITO - Subsystem A;Fujitsu PRIMERGY CX2550/CX2560 M4, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR;Research Institute for Information Technology, Kyushu University;Fujitsu;Japan;2018;Academic;72 000;;4 540,69;6 912,00;5 753 080;;62,91;;;;;Cluster;Xeon Gold 6154 18C 3GHz;Intel Skylake;3 000;Redhat Enterprise Linux 7;Linux;None;18;Xeon Gold;Fujitsu PRIMERGY CX2550/CX2560 M4;Fujitsu PRIMERGY;Infiniband;Mellanox InfiniBand EDR;Asia;50 421;179429
91;;57;91;Discoverer;BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, Infiniband HDR;Consortium Petascale Supercomputer Bulgaria;Atos;Bulgaria;2021;Academic;144 384;;4 518,87;5 942,00;5 824 896;;54,26;;;;;Cluster;AMD EPYC 7H12 64C 2.6GHz;AMD Zen-2 (Rome);2 600;Linux;Linux;None;64;AMD Rome;BullSequana XH2000;BullSequana;Infiniband;Infiniband HDR;Europe;50 867;179948
92;64;53;42;Jean Zay;HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, Intel Omni-Path;CNRS/IDRIS-GENCI;HPE;France;2019;Academic;93 960;83 520;4 478,00;7 345,56;1 999 871;;120,27;;;;;Cluster;Xeon Gold 6248 20C 2.5GHz;Intel Cascade lake;2 500;RHEL 6.8;Linux;NVIDIA Tesla V100 SXM2;20;Xeon Gold 62xx (Cascade Lake);HPE SGI 8600;HPE SGI 8600;Omnipath;Intel Omni-Path;Europe;50 403;179692
93;;57;93;Wisteria/BDEC-01 (Aquarius);PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR;Information Technology Center, The University of Tokyo;Fujitsu;Japan;2021;Academic;42 120;38 880;4 425,00;7 268,83;1 347 016;;84,71;183,93;Submitted;24,06;;Cluster;Xeon Platinum 8360Y 36C 2.4GHz;Intel Ice Lake;2 400;Linux;Linux;NVIDIA A100 SXM4 40 GB;36;Xeon® Platinum 83xx (Ice Lake);PRIMERGY GX2570 M6;Fujitsu PRIMERGY;Infiniband;Infiniband HDR;Asia;50 096;179963
94;65;55;56;Atlas;Bull 4029GP-TVRT, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR;Petróleo Brasileiro S.A;Atos;Brazil;2020;Industry;91 936;87 040;4 376,00;8 848,49;2 081 280;;;546,58;Submitted;8,01;;Cluster;Xeon Gold 6240 18C 2.6GHz;Intel Cascade lake;2 600;CentOS;Linux;NVIDIA Tesla V100;18;Xeon Gold 62xx (Cascade Lake);Bull 4029GP-TVRT;Bull Cluster;Infiniband;Infiniband EDR;South America;49 587;179854
95;66;52;38;Advanced Computing System(PreE);Sugon TC8600, Hygon Dhyana  32C 2GHz, Deep Computing Processor, 200Gb 6D-Torus;Sugon;Sugon;China;2018;Vendor;163 840;131 072;4 325,00;6 134,17;1 876 000;;;380,00;Submitted;11,38;;Cluster;Hygon Dhyana 32C 2GHz;X86_64;2 000;CentOS;Linux;Deep Computing Processor;32;Hygon Dhyana;Sugon TC8600;Sugon Cluster;Gigabit Ethernet;200Gb 6D-Torus;Asia;50 797;179593
96;67;56;67;CRONOS;BullSequana X, Xeon Platinum 8260 24C 2.4GHz, Infiniband HDR;EDF;Atos;France;2020;Industry;81 600;;4 299,33;7 136,87;6 317 568;;;1 225,53;Submitted;3,51;;Cluster;Xeon Platinum 8260 24C 2.4GHz;Intel Cascade lake;2 400;Linux;Linux;None;24;Xeon Platinum 82xx (Cascade Lake);BullSequana X;BullSequana;Infiniband;Infiniband HDR;Europe;50 679;179899
97;68;53;45;Oakbridge-CX;Fujitsu PRIMERGY CX2550/CX2560 M5, Xeon Platinum 8280 28C 2.7GHz, Intel Omni-Path;Information Technology Center, The University of Tokyo;Fujitsu;Japan;2019;Academic;76 608;;4 289,85;6 618,93;5 124 856;;53,53;845,09;Submitted;5,08;;Cluster;Xeon Platinum 8280 28C 2.7GHz;Intel Cascade lake;2 700;Linux;Linux;None;28;Xeon Platinum 82xx (Cascade Lake);Fujitsu PRIMERGY CX2550/CX2560 M5;Fujitsu PRIMERGY;Omnipath;Intel Omni-Path;Asia;50 096;179606
98;69;56;69;SNL/NNSA CTS-1 Manzano;Tundra Extreme Scale, Xeon Platinum 8268 24C 2.9GHz, Intel Omni-Path;Sandia National Laboratories;Penguin Computing;United States;2020;Research;71 424;;4 281,00;6 628,15;5 491 968;5 184 000;40,29;960,00;Submitted;4,46;;Cluster;Xeon Platinum 8268 24C 2.9GHz;Intel Cascade lake;2 900;Linux/TOSS;Linux;None;24;Xeon Platinum 82xx (Cascade Lake);Tundra Extreme Scale;Penguin Computing Cluster;Omnipath;Intel Omni-Path;North America;48 748;179907
99;70;53;46;;Apollo 6500 XL270d Gen10, Xeon Gold 6140 18C 2.3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2;Research Institute;HPE;Japan;2019;Research;70 416;66 560;4 128,00;5 783,81;1 843 200;;94,29;;;;;Cluster;Xeon Gold 6140 18C 2.3GHz;Intel Skylake;2 300;CentOS;Linux;NVIDIA Tesla V100 SXM2;18;Xeon Gold;Apollo 6500 XL270d Gen10;HP Apollo;Infiniband;Mellanox InfiniBand EDR;Asia;50 810;179698
100;;57;100;Wilkes-3;PowerEdge XE8545, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 80GB;University of Cambridge;Dell EMC;United Kingdom;2021;Academic;44 800;34 560;4 124,00;6 641,41;1 825 536;900 000;;146,53;Submitted;28,14;;Cluster;AMD EPYC 7763 64C 2.45GHz;AMD Zen-3 (Milan);2 450;CentOS;Linux;NVIDIA A100 80GB;64;AMD Milan;PowerEdge XE8545;Dell PowerEdge Cluster;Infiniband;Infiniband HDR200 dual rail;Europe;49 143;179930
101;72;51;34;JOLIOT-CURIE SKL;Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR;CEA/TGCC-GENCI;Atos;France;2017;Research;79 488;;4 065,55;6 635,52;5 861 568;;52,68;917,00;Submitted;4,43;;Cluster;Xeon Platinum 8168 24C 2.7GHz;Intel Skylake;2 700;bullx SCS;Linux;None;24;Xeon Platinum;BullSequana X1000;BullSequana;Infiniband;Mellanox InfiniBand EDR;Europe;50 414;179411
102;73;45;13;Abel;Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ;Petroleum Geo-Services;Cray/HPE;United States;2015;Industry;145 920;;4 042,46;5 369,86;8 338 176;;;1 800,00;Submitted;2,25;;MPP;Xeon E5-2698v3 16C 2.3GHz;Intel Haswell;2 300;Cray Linux Environment ;Linux;None;16;Intel Xeon E5 (Haswell);Cray XC30;Cray XC;Custom Interconnect;Aries interconnect ;North America;48 602;178556
